Processor,Description
"AMD Ryzen 9 7945HX3D(86%)58,038NA","AMD Ryzen 9 7945HX3D


Description: AMD Radeon 610M


Class: Laptop
Socket: FL1
Clockspeed: 2.3 GHzTurbo Speed: 5.4 GHzCores: 16 Threads: 32Typical TDP: 55 WTDP Up: 75 W
Cache per CPU Package:L1 Instruction Cache: 16 x 32 KBL1 Data Cache: 16 x 32 KBL2 Cache: 16 x 1024 KBL3 Cache: 32 MB


Other names: AMD Ryzen 9 7945HX3D with Radeon Graphics
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
99th fastest in multithreading out of 4854 CPUs62nd fastest in single threading out of 4854 CPUs1st fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
58038 Single Thread Rating
4119
 Samples: 15*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 9 7945HX(81%)54,708NA","AMD Ryzen 9 7945HX


Description: AMD Radeon 610M


Class: Laptop
Socket: FL1
Clockspeed: 2.5 GHzTurbo Speed: 5.4 GHzCores: 16 Threads: 32Typical TDP: 55 W
Cache per CPU Package:L1 Instruction Cache: 16 x 32 KBL1 Data Cache: 16 x 32 KBL2 Cache: 16 x 1024 KBL3 Cache: 64 MB


Other names: AMD Ryzen 9 7945HX with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
115th fastest in multithreading out of 4854 CPUs76th fastest in single threading out of 4854 CPUs2nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
54708 Single Thread Rating
4058
 Samples: 567*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 9 7940HX(80%)53,658NA","AMD Ryzen 9 7940HX


Description: with Radeon Graphics


Class: Desktop, Laptop
Socket: AM5 (LGA 1718)
Clockspeed: 2.4 GHzTurbo Speed: 5.2 GHzCores: 16 Threads: 32Typical TDP: 55 W
Cache per CPU Package:L1 Instruction Cache: 16 x 32 KBL1 Data Cache: 16 x 32 KBL2 Cache: 16 x 1024 KBL3 Cache: 64 MB


Other names: AMD Ryzen 9 7940HX with Radeon Graphics
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
119th fastest in multithreading out of 4854 CPUs114th fastest in single threading out of 4854 CPUs27th fastest in out of 1382 Desktop CPUs3rd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
53658 Single Thread Rating
3933
 Samples: 29*
					
					*Margin for error: Low


+ Compare"
"Intel Core i9-13980HX(70%)47,309$668.00*","Intel Core i9-13980HX


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1964


Total Cores: 24 Cores, 32 Threads
Performance Cores: 8 Cores, 16 Threads, 2.2 GHz Base, 5.6 GHz Turbo
Efficient Cores: 16 Cores, 16 Threads, NA Base, 4.0 GHz Turbo

Typical TDP: 55 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 48 KBL2 Cache: 8 x 2048 KBL3 Cache: 36 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 16 x 64 KBEff. L1 Data Cache: 16 x 32 KBEff. L2 Cache: 4 x 4096 KB
Memory Support: Max. Memory Size: 128 GB (Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s)


Other names: 13th Gen Intel(R) Core(TM) i9-13980HX, 13th Gen Intel Core i9-13980HX
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 70.82
Overall Rank:
150th fastest in multithreading out of 4854 CPUs30th fastest in single threading out of 4854 CPUs4th fastest in out of 1421 Laptop CPUs 
Last Price Change: $668.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
47309 Single Thread Rating
4302
 Samples: 1087*
					
					*Margin for error: Low


+ Compare"
"Intel Core i9-14900HX(68%)45,719$679.00*","Intel Core i9-14900HX


Description: Intel UHD Graphics for 14th Gen Intel Processors


Class: Laptop
Socket: FCBGA1964


Total Cores: 24 Cores, 32 Threads
Performance Cores: 8 Cores, 16 Threads, 2.2 GHz Base, 5.8 GHz Turbo
Efficient Cores: 16 Cores, 16 Threads, 1.6 GHz Base, 4.1 GHz Turbo

Typical TDP: 55 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 48 KBL2 Cache: 8 x 2048 KBL3 Cache: 36 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 16 x 64 KBEff. L1 Data Cache: 16 x 32 KBEff. L2 Cache: 4 x 4096 KB
Memory Support: Max. Memory Size: 192 GB (Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s)


Other names: Intel(R) Core(TM) i9-14900HX, Intel Core i9-14900HX
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: 67.33
Overall Rank:
163rd fastest in multithreading out of 4854 CPUs31st fastest in single threading out of 4854 CPUs5th fastest in out of 1421 Laptop CPUs 
Last Price Change: $679.00 USD (2024-01-01)




Average CPU Mark


Multithread Rating
45719 Single Thread Rating
4293
 Samples: 776*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 9 7845HX(68%)45,556NA","AMD Ryzen 9 7845HX


Description: AMD Radeon 610M


Class: Laptop
Socket: FL1
Clockspeed: 3.0 GHzTurbo Speed: 5.2 GHzCores: 12 Threads: 24Typical TDP: 55 WTDP Down: 45 WTDP Up: 75 W
Cache per CPU Package:L1 Instruction Cache: 12 x 32 KBL1 Data Cache: 12 x 32 KBL2 Cache: 12 x 1024 KBL3 Cache: 64 MB


Other names: AMD Ryzen 9 7845HX with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
167th fastest in multithreading out of 4854 CPUs101st fastest in single threading out of 4854 CPUs6th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
45556 Single Thread Rating
3962
 Samples: 264*
					
					*Margin for error: Low


+ Compare"
"Intel Core i9-13900HX(66%)44,212$668.00*","Intel Core i9-13900HX


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1964


Total Cores: 24 Cores, 32 Threads
Performance Cores: 8 Cores, 16 Threads, 2.2 GHz Base, 5.4 GHz Turbo
Efficient Cores: 16 Cores, 16 Threads, 1.6 GHz Base, 3.9 GHz Turbo

Typical TDP: 55 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 48 KBL2 Cache: 8 x 2048 KBL3 Cache: 36 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 16 x 64 KBEff. L1 Data Cache: 16 x 32 KBEff. L2 Cache: 4 x 4096 KB
Memory Support: Max. Memory Size: 128 GB (Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s)


Other names: 13th Gen Intel(R) Core(TM) i9-13900HX, 13th Gen Intel Core i9-13900HX
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 66.19
Overall Rank:
174th fastest in multithreading out of 4854 CPUs60th fastest in single threading out of 4854 CPUs7th fastest in out of 1421 Laptop CPUs 
Last Price Change: $668.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
44212 Single Thread Rating
4128
 Samples: 1666*
					
					*Margin for error: Low


+ Compare"
"Intel Core i9-13950HX(65%)43,671$590.00*","Intel Core i9-13950HX


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1964


Total Cores: 24 Cores, 32 Threads
Performance Cores: 8 Cores, 16 Threads, 2.2 GHz Base, 5.5 GHz Turbo
Efficient Cores: 16 Cores, 16 Threads, 1.6 GHz Base, 4.0 GHz Turbo

Typical TDP: 55 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 48 KBL2 Cache: 8 x 2048 KBL3 Cache: 36 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 16 x 64 KBEff. L1 Data Cache: 16 x 32 KBEff. L2 Cache: 4 x 4096 KB


Other names: 13th Gen Intel(R) Core(TM) i9-13950HX, 13th Gen Intel Core i9-13950HX
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 74.02
Overall Rank:
180th fastest in multithreading out of 4854 CPUs82nd fastest in single threading out of 4854 CPUs8th fastest in out of 1421 Laptop CPUs 
Last Price Change: $590.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
43671 Single Thread Rating
4028
 Samples: 513*
					
					*Margin for error: Low


+ Compare"
"Apple M3 Max 16 Core(61%)40,803NA","Apple M3 Max 16 Core


Description: 40 Core GPU


Class: Laptop
Socket: 


Total Cores: 16 Cores, 16 Threads
Primary Cores: 12 Cores, 12 Threads, 4.0 GHz Base, NA Turbo
Secondary Cores: 4 Cores, 4 Threads, NA Base, NA Turbo

Typical TDP: 78 W


Other names: ARM Apple M3 Max 16 Core 0 MHz
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
197th fastest in multithreading out of 4854 CPUs3rd fastest in single threading out of 4854 CPUs9th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
40803 Single Thread Rating
4776
 Samples: 220*
					
					*Margin for error: Low


+ Compare"
"Intel Core i7-13850HX(56%)38,023$428.00*","Intel Core i7-13850HX


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1964


Total Cores: 20 Cores, 28 Threads
Performance Cores: 8 Cores, 16 Threads, 2.1 GHz Base, 5.3 GHz Turbo
Efficient Cores: 12 Cores, 12 Threads, 1.5 GHz Base, 3.8 GHz Turbo

Typical TDP: 55 WTDP Down: 45 WTDP Up: 157 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 48 KBL2 Cache: 8 x 2048 KBL3 Cache: 30 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 12 x 64 KBEff. L1 Data Cache: 12 x 32 KBEff. L2 Cache: 3 x 4096 KB
Memory Support: Max. Memory Size: 128 GB (Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s, ECC Supported)


Other names: 13th Gen Intel(R) Core(TM) i7-13850HX, 13th Gen Intel Core i7-13850HX
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 88.84
Overall Rank:
217th fastest in multithreading out of 4854 CPUs145th fastest in single threading out of 4854 CPUs10th fastest in out of 1421 Laptop CPUs 
Last Price Change: $428.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
38023 Single Thread Rating
3846
 Samples: 195*
					
					*Margin for error: Low


+ Compare"
