Processor,Clockspeed,Turbo Speed,Cores,Threads,TDP,TDP UP
AMD Ryzen 9 7945HX3D,2.3 GHz,5.4 GHz,16,32,55 W,N/A
AMD Ryzen 9 7945HX,2.5 GHz,5.4 GHz,16,32,55 W,N/A
AMD Ryzen 9 7940HX,2.4 GHz,5.2 GHz,16,32,55 W,N/A
Intel Core i9-13980HX,N/A,N/A,24,N/A,55 W,N/A
Intel Core i9-14900HX,N/A,N/A,24,N/A,55 W,N/A
AMD Ryzen 9 7845HX,3.0 GHz,5.2 GHz,12,24,55 W,N/A
Intel Core i9-13900HX,N/A,N/A,24,N/A,55 W,N/A
Intel Core i9-13950HX,N/A,N/A,24,N/A,55 W,N/A
Apple M3 Max 16 Core,N/A,N/A,16,N/A,78 W,N/A
Intel Core i7-13850HX,N/A,N/A,20,N/A,55 W,N/A
Intel Core i7-14700HX,N/A,N/A,20,N/A,55 W,N/A
Intel Core i7-14650HX,N/A,N/A,16,N/A,157 W,N/A
Apple M3 Max 14 Core,N/A,N/A,14,N/A,78 W,N/A
AMD Ryzen AI 9 HX 370,N/A,N/A,12,N/A,28 W,N/A
Intel Core i7-13700HX,N/A,N/A,16,N/A,55 W,N/A
AMD Ryzen 7 7745HX,3.6 GHz,5.1 GHz,8,16,55 W,N/A
Intel Core i9-13900HK,N/A,N/A,14,N/A,45 W,N/A
Intel Core i7-13650HX,N/A,N/A,14,N/A,55 W,N/A
AMD Ryzen 9 PRO 8945HS,4.0 GHz,5.2 GHz,8,16,45 W,N/A
AMD Ryzen 9 8945H,4.0 GHz,5.2 GHz,8,16,45 W,N/A
Intel Core i5-13500HX,N/A,N/A,14,N/A,55 W,N/A
AMD Ryzen 9 7940HS,4.0 GHz,5.2 GHz,8,16,54 W,N/A
Intel Core i9-13905H,N/A,N/A,14,N/A,45 W,N/A
Intel Core Ultra 9 185H,N/A,N/A,16,N/A,45 W,N/A
AMD Ryzen 9 8945HS,4.0 GHz,5.2 GHz,8,16,45 W,N/A
AMD Ryzen 7 PRO 8845HS,3.8 GHz,5.1 GHz,8,16,45 W,N/A
AMD Ryzen 7 7840HS,3.8 GHz,5.1 GHz,8,16,54 W,N/A
AMD Ryzen 7 8845HS,3.8 GHz,5.1 GHz,8,16,45 W,N/A
