Name,Processor,Video Card,Display,Storage,RAM,Weight
Dell Inspiron 5410 2-in-1,Intel Core i5-1155G7,NVIDIA GeForce MX350,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB DDR4, 3200 MHz",1.65 kg (3.6 lbs)
Lenovo IdeaPad Flex 5 14,Intel Core i3-1115G4,Intel Iris Xe Graphics G4,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB DDR4, 3200 MHz",1.50 kg (3.3 lbs)
ASUS ZenBook Duo UX481,Intel Core i7-10510U,NVIDIA GeForce MX250 (10W),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,"16GB LPDDR3, 2133 MHz",1.50 kg (3.3 lbs)
Acer Aspire 5,Intel Core i5-8265U,NVIDIA GeForce MX150 (2GB GDDR5),"15.6”, Full HD (1920 x 1080), TN",1000GB HDD,"2x 4GB DDR4, 2400 MHz",1.90 kg (4.2 lbs)
ASUS VivoBook 14 M415,AMD Ryzen 5 3500U,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","14.0”, Full HD (1920 x 1080), TN",1000GB HDD,8GB DDR4,1.55 kg (3.4 lbs)
ASUS VivoBook Flip 14 TP470,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,8GB LPDDR4x,1.50 kg (3.3 lbs)
MSI GF63 Thin,Intel Core i5-9300H,NVIDIA GeForce GTX 1650 Ti Max-Q,"15.6”, Full HD (1920 x 1080), IPS",1000GB HDD,8GB DDR4,1.86 kg (4.1 lbs)
Dell Inspiron 3511,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,"8GB DDR4, 2666 MHz",1.73 kg (3.8 lbs)
Lenovo Yoga Slim 7i 14,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,"16GB DDR4, 3200 MHz",1.40 kg (3.1 lbs)
Lenovo ThinkPad E15 Gen 2,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB DDR4, 3200 MHz",1.70 kg (3.7 lbs)
ASUS ROG STRIX G15 G512,Intel Core i7-10750H,NVIDIA GeForce GTX 1650 Ti (Laptop),"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,"2x 8GB DDR4, 3200 MHz",2.39 kg (5.3 lbs)
Apple MacBook Pro 16 (2019),Intel Core i9-9880H,AMD Radeon Pro 5500M (4GB GDDR6),"16.0″, (3072 x 1920), IPS",1000GB SSD,16GB DDR4,2.00 kg (4.4 lbs)
Lenovo IdeaPad 3 15,Intel Core i5-1035G1,Intel UHD Graphics G1,"15.6”, Full HD (1920 x 1080), TN",1000GB HDD,"2x 4GB DDR4, 2666 MHz",1.85 kg (4.1 lbs)
