Name,Processor,RAM,Video Card,Display,Storage Type,Storage Size,Price,Link
ASUS ROG Zephyrus S15 GX502,,,,,Hard disk drive,,₹23499000,https://laptopmedia.com/de/laptop-specs/asus-rog-zephyrus-s15-gx502-74/
ASUS Vivobook 17 M712,,,,,Hard disk drive,,₹4848700,https://laptopmedia.com/de/laptop-specs/asus-vivobook-17-m712-242/
Lenovo Legion 7 15,,,,,Hard disk drive,,₹15999000,https://laptopmedia.com/de/laptop-specs/lenovo-legion-7-15-42/
Lenovo IdeaPad Gaming 3i 15,,,,,,,₹7899000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-gaming-3i-15-9/
ASUS VivoBook 14 X413,,,,,Hard disk drive,,₹3899000,https://laptopmedia.com/de/laptop-specs/asus-vivobook-14-x413-19/
HP 245 G7,,,,,,,₹4026400,https://laptopmedia.com/de/laptop-specs/hp-245-g7-4/
ASUS VivoBook 14 X413,,,,,Hard disk drive,,₹5524100,https://laptopmedia.com/de/laptop-specs/asus-vivobook-14-x413-14/
Apple MacBook Air 13 (2020),,,,,Hard disk drive,,₹10999000,https://laptopmedia.com/de/laptop-specs/apple-macbook-air-13-2020-4/
MSI Summit E15,,,,,Hard disk drive,,₹15499000,https://laptopmedia.com/de/laptop-specs/msi-summit-e15-47/
ASUS VivoBook 14,,,,,Hard disk drive,,₹3089000,https://laptopmedia.com/de/laptop-specs/asus-vivobook-14-6/
Lenovo ThinkPad E15 Gen 2,,,,,Hard disk drive,,₹6599000,https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-e15-gen-2-94/
MSI GF63 Thin,,,,,,,₹6219000,https://laptopmedia.com/de/laptop-specs/msi-gf63-thin-106/
Lenovo ThinkPad E15 Gen 2,,,,,Hard disk drive,,₹4999900,https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-e15-gen-2-91/
Lenovo IdeaPad 3 15,,,,,,,₹4399000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-3-15-1231/
Dell Inspiron 3511,,,,,Hard disk drive,,₹5399000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-3511-111/
HP Pavilion Gaming 15,,,,,Hard disk drive,,₹6499000,https://laptopmedia.com/de/laptop-specs/hp-pavilion-gaming-15-522/
Lenovo ThinkPad E15 Gen 2,,,,,Hard disk drive,,₹6799000,https://laptopmedia.com/de/laptop-specs/lenovo-thinkpad-e15-gen-2-95/
ASUS ZenBook 13 UX333,,,,,Hard disk drive,,₹6699000,https://laptopmedia.com/de/laptop-specs/asus-zenbook-13-ux333-18/
Apple MacBook Pro 13,,,,,Hard disk drive,,₹11699000,https://laptopmedia.com/de/laptop-specs/apple-macbook-pro-13-touch-bar-late-2020-5/
Lenovo IdeaPad S145 15,,,,,,,₹3699000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-s145-15-1043/
Lenovo Yoga S940,,,,,Hard disk drive,,₹14299000,https://laptopmedia.com/de/laptop-specs/lenovo-yoga-s940-17/
HP 14,,,,,Hard disk drive,,₹5350000,https://laptopmedia.com/de/laptop-specs/hp-14-1850/
Lenovo ThinkBook 13s Gen 2,,,,,Hard disk drive,,₹7399000,https://laptopmedia.com/de/laptop-specs/lenovo-thinkbook-13s-148/
ASUS TUF Gaming F15 FX506,,,,,Hard disk drive,,₹5999000,https://laptopmedia.com/de/laptop-specs/asus-tuf-gaming-f15-fx506-93/
ASUS ZenBook Duo 14 UX482,,,,,Hard disk drive,,₹7999000,https://laptopmedia.com/de/laptop-specs/asus-zenbook-duo-14-ux482-11/
HP EliteBook 840 G6,,,,,Hard disk drive,,₹13850000,https://laptopmedia.com/de/laptop-specs/hp-elitebook-840-g6-229/
Dell Inspiron 3515,,,,,Hard disk drive,,₹4174900,https://laptopmedia.com/de/laptop-specs/dell-inspiron-3515-9/
Lenovo IdeaPad Gaming 3i 15,,,,,Hard disk drive,,₹5890000,https://laptopmedia.com/de/laptop-specs/lenovo-ideapad-gaming-3i-15-7/
ASUS TUF Gaming F17 FX706,,,,,Hard disk drive,,₹7399000,https://laptopmedia.com/de/laptop-specs/asus-tuf-gaming-f17-fx706-20/
ASUS ZenBook Duo UX481,,,,,Hard disk drive,,₹12499000,https://laptopmedia.com/de/laptop-specs/asus-zenbook-duo-ux481-31/
MSI GP65 Leopard 10Sx,,,,,Hard disk drive,,₹15609000,https://laptopmedia.com/de/laptop-specs/msi-gp65-leopard-10sx-21/
Dell Inspiron 5518,,,,,Hard disk drive,,₹6989000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-5518-6/
Dell XPS 9300,,,,,Hard disk drive,,₹8999000,https://laptopmedia.com/de/laptop-specs/dell-xps-9300-62/
Dell Inspiron 5410 2-in-1,,,,,Hard disk drive,,₹7850000,https://laptopmedia.com/de/laptop-specs/dell-inspiron-5410-2-in-1-169/
Acer Aspire 7,,,,,Hard disk drive,,₹6459000,https://laptopmedia.com/de/laptop-specs/acer-aspire-7-52/
HP Pavilion Gaming 15,,,,,,,₹5999000,https://laptopmedia.com/de/laptop-specs/hp-pavilion-gaming-15-215/
